set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.035,2,0.008,0.010,51,0.001,0.014,0.107,  6.22, 4.92,0.000,-38,-21,56,
,,,,,,0.016,0.107,  6.19, 4.90,0.000,-34,-24,49,
,,,,,,0.020,0.107,  6.10, 4.86,0.000,-30,-28,56,
,,0.016,0.033,44,0.002,0.409,0.332,  4.85, 4.12,0.000, -2,-32,66,
