set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.003,3,0.000,0.123,88,0.000,0.000,0.001,  8.40, 5.94,0.000, 26, -7,52,
,,0.001,0.123,82,0.000,0.000,0.001,  7.75, 5.66,0.000,-24, -7,52,
,,0.252,0.123,18,0.029,0.105,0.040,  5.50, 4.51,0.000, 43,-24,42,
,,,,,,0.673,0.217,  4.50, 3.89,0.000, 40,-35,60,
,,,,,,0.786,0.260,  4.35, 3.79,0.000, 40,-32,49,
