set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.016,2,0.000,0.000,195,0.000,0.000,0.001,  8.32, 5.90,0.000, 36,-21,49,
,,,,,,0.000,0.001,  8.18, 5.84,0.000, 40,-24,56,
,,,,,,0.000,0.001,  7.99, 5.76,0.000,  4,-28,56,
,,0.114,0.039,21,0.010,0.451,0.170,  4.90, 4.15,0.000,  8, 28,60,
,,,,,,0.993,0.584,  3.89, 3.46,0.000, 18, 24,56,
,,,,,,1.000,0.792,  3.59, 3.24,0.001, 26, 28,52,
