set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,14,0.000,0.000,717,0.000,0.000,0.000,  9.20, 6.25,0.000, 40,-21, 56,
,,,,,,0.000,0.000,  8.79, 6.09,0.000, 26,-24, 60,
,,,,,,0.000,0.001,  8.47, 5.96,0.000, 36,-18, 46,
,,0.000,0.000,501,0.000,0.000,0.000,  8.99, 6.17,0.000, 40,-21, 21,
,,,,,,0.001,0.003,  7.45, 5.53,0.000, 57,-21,  0,
,,,,,,0.002,0.007,  6.93, 5.28,0.000, 68,-32,  0,
,,0.000,0.000,171,0.000,0.000,0.001,  8.27, 5.88,0.000,-16,-52,-18,
,,,,,,0.000,0.002,  7.73, 5.65,0.000,-24,-46,-24,
,,,,,,0.615,0.204,  4.69, 4.01,0.000,-24,-35,-21,
,,0.000,0.000,220,0.000,0.015,0.026,  6.20, 4.91,0.000, -6, 63, 14,
,,,,,,0.049,0.050,  5.77, 4.67,0.000,  8, 52, 18,
,,,,,,0.286,0.122,  5.14, 4.30,0.000,  4, 56, -7,
,,0.000,0.000,140,0.000,0.017,0.026,  6.16, 4.89,0.000,-13,-49, 32,
,,,,,,0.052,0.050,  5.75, 4.66,0.000, -6,-56, 18,
,,,,,,0.056,0.050,  5.72, 4.64,0.000,  8,-52, 14,
,,0.016,0.007,36,0.001,0.036,0.044,  5.89, 4.74,0.000,-41,-77,-32,
,,0.001,0.000,63,0.000,0.041,0.045,  5.84, 4.71,0.000, 12,-88, 32,
,,,,,,0.995,0.598,  3.87, 3.44,0.000, -6,-88, 32,
,,,,,,1.000,0.851,  3.52, 3.18,0.001, 22,-84, 38,
,,0.009,0.004,41,0.001,0.056,0.050,  5.72, 4.64,0.000, 36, 38,-10,
,,,,,,0.711,0.249,  4.57, 3.93,0.000, 26, 38,  0,
,,0.001,0.001,59,0.000,0.166,0.085,  5.33, 4.42,0.000,-66,-28, -4,
,,,,,,0.642,0.213,  4.66, 3.99,0.000,-62,-18, -7,
,,,,,,0.821,0.305,  4.42, 3.83,0.000,-62, -4,-18,
,,0.000,0.000,76,0.000,0.166,0.085,  5.33, 4.42,0.000, 40,-60, 21,
,,,,,,0.398,0.150,  4.98, 4.20,0.000, 36,-70, 10,
,,,,,,0.934,0.390,  4.19, 3.68,0.000, 46,-70, 14,
,,0.000,0.000,104,0.000,0.206,0.096,  5.25, 4.37,0.000,-20, 28,  4,
,,,,,,0.472,0.177,  4.88, 4.13,0.000,-41, 32,-10,
,,,,,,0.568,0.201,  4.75, 4.05,0.000,-10, 28, -4,
,,0.021,0.008,34,0.002,0.373,0.150,  5.02, 4.22,0.000, 29, -4, -7,
,,,,,,1.000,0.742,  3.63, 3.27,0.001, 32,-10,  4,
,,0.000,0.000,109,0.000,0.503,0.186,  4.83, 4.11,0.000,-38,-56, 28,
,,,,,,0.538,0.195,  4.79, 4.08,0.000,-55,-56, 28,
,,,,,,0.567,0.201,  4.75, 4.05,0.000,-52,-66, 24,
,,0.039,0.015,29,0.003,0.915,0.372,  4.24, 3.71,0.000, 32,-77,-35,
,,,,,,0.983,0.522,  3.99, 3.53,0.000, 22,-84,-35,
