set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.000,2245,0.000,0.000,0.000,  9.82, 6.47,0.000,-34,-24, 56,
,,,,,,0.000,0.000,  9.79, 6.46,0.000,-44,-18, 56,
,,,,,,0.000,0.000,  9.33, 6.29,0.000,-38,-38, 38,
,,0.000,0.000,367,0.000,0.000,0.000,  9.51, 6.36,0.000, 12,-49,-18,
,,,,,,0.000,0.000,  8.77, 6.08,0.000, 22,-52,-21,
,,,,,,0.004,0.003,  6.74, 5.19,0.000,  4,-63,-21,
,,0.000,0.000,570,0.000,0.000,0.000,  9.31, 6.29,0.000,-10,-21,  7,
,,,,,,0.000,0.000,  8.32, 5.90,0.000, -6,-28, -7,
,,,,,,0.011,0.006,  6.31, 4.96,0.000, 12,-18,  7,
,,0.000,0.000,139,0.000,0.001,0.001,  7.39, 5.50,0.000, 26, -7, 56,
,,,,,,0.860,0.251,  4.28, 3.74,0.000, 26,-10, 35,
,,0.003,0.001,58,0.000,0.270,0.062,  5.13, 4.29,0.000,-24,-60,-24,
,,,,,,0.293,0.065,  5.09, 4.27,0.000,-34,-49,-28,
