set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,4,0.003,0.272,59,0.000,0.012,0.030,  6.29, 4.96,0.000, 54,35,  0,
,,,,,,0.381,0.109,  4.94, 4.17,0.000, 43,35, -4,
,,,,,,0.976,0.505,  3.97, 3.52,0.000, 57,28, 10,
,,0.003,0.272,58,0.000,0.020,0.030,  6.09, 4.85,0.000, 15,32, 56,
,,,,,,0.578,0.162,  4.67, 4.00,0.000,  8,38, 46,
,,0.033,0.272,34,0.003,0.308,0.104,  5.06, 4.25,0.000,-55,28,  4,
,,,,,,0.371,0.109,  4.95, 4.18,0.000,-52,24, 10,
,,,,,,0.884,0.342,  4.24, 3.71,0.000,-44,35, -7,
,,0.074,0.272,27,0.007,0.583,0.162,  4.66, 3.99,0.000, -6,35, 52,
