iData,roiFileName,roiHemi,conName,mean_activation
21,M1,L,stop_as_left_vs_no_signal_slow,2.79664298560884
22,M1,L,stop_as_left_vs_no_signal_slow,0.850043260388904
23,M1,L,stop_as_left_vs_no_signal_slow,0.927378224622872
24,M1,L,stop_as_left_vs_no_signal_slow,0.0880670497814814
25,M1,L,stop_as_left_vs_no_signal_slow,0.501402468317085
26,M1,L,stop_as_left_vs_no_signal_slow,1.08681281407674
27,M1,L,stop_as_left_vs_no_signal_slow,0.260845257176293
28,M1,L,stop_as_left_vs_no_signal_slow,2.15557644102308
29,M1,L,stop_as_left_vs_no_signal_slow,1.14789902004931
30,M1,L,stop_as_left_vs_no_signal_slow,0.88034000992775
1,PMd,L,stop_as_left_vs_no_signal_slow,2.61639709197558
2,PMd,L,stop_as_left_vs_no_signal_slow,4.49796142180761
3,PMd,L,stop_as_left_vs_no_signal_slow,4.20055726667245
4,PMd,L,stop_as_left_vs_no_signal_slow,4.09364452958107
5,PMd,L,stop_as_left_vs_no_signal_slow,1.86448808670044
6,PMd,L,stop_as_left_vs_no_signal_slow,0.883697175979614
7,PMd,L,stop_as_left_vs_no_signal_slow,4.09772797272756
8,PMd,L,stop_as_left_vs_no_signal_slow,0.534213634207845
9,PMd,L,stop_as_left_vs_no_signal_slow,3.40114754796028
10,PMd,L,stop_as_left_vs_no_signal_slow,2.83227660105779
11,PMd,L,stop_as_left_vs_no_signal_slow,3.76345517543646
12,PMd,L,stop_as_left_vs_no_signal_slow,1.17184828737607
13,PMd,L,stop_as_left_vs_no_signal_slow,5.95970282347306
14,PMd,L,stop_as_left_vs_no_signal_slow,0.0100557950014869
15,PMd,L,stop_as_left_vs_no_signal_slow,-0.0161979824304581
16,PMd,L,stop_as_left_vs_no_signal_slow,4.16465760313946
17,PMd,L,stop_as_left_vs_no_signal_slow,1.68452949363452
18,PMd,L,stop_as_left_vs_no_signal_slow,7.31517822925861
19,PMd,L,stop_as_left_vs_no_signal_slow,2.39639253570483
20,PMd,L,stop_as_left_vs_no_signal_slow,2.50431435383283
21,PMd,L,stop_as_left_vs_no_signal_slow,3.60431413008617
22,PMd,L,stop_as_left_vs_no_signal_slow,3.47218803882599
23,PMd,L,stop_as_left_vs_no_signal_slow,4.35733977456888
24,PMd,L,stop_as_left_vs_no_signal_slow,3.47276585102081
25,PMd,L,stop_as_left_vs_no_signal_slow,1.67850712562601
26,PMd,L,stop_as_left_vs_no_signal_slow,1.39733834564686
27,PMd,L,stop_as_left_vs_no_signal_slow,2.93975818157196
28,PMd,L,stop_as_left_vs_no_signal_slow,5.14598534657405
29,PMd,L,stop_as_left_vs_no_signal_slow,5.02400066302373
30,PMd,L,stop_as_left_vs_no_signal_slow,3.98220102145122
1,SMA,L,stop_as_left_vs_no_signal_slow,1.364171149938
2,SMA,L,stop_as_left_vs_no_signal_slow,6.03939635753632
3,SMA,L,stop_as_left_vs_no_signal_slow,1.29952394962311
4,SMA,L,stop_as_left_vs_no_signal_slow,1.39487432911992
5,SMA,L,stop_as_left_vs_no_signal_slow,0.658471720559256
6,SMA,L,stop_as_left_vs_no_signal_slow,0.515654396265745
7,SMA,L,stop_as_left_vs_no_signal_slow,5.50416606167952
8,SMA,L,stop_as_left_vs_no_signal_slow,0.290198457868476
9,SMA,L,stop_as_left_vs_no_signal_slow,1.45372931907574
10,SMA,L,stop_as_left_vs_no_signal_slow,2.06643639206886
11,SMA,L,stop_as_left_vs_no_signal_slow,1.18719097836451
12,SMA,L,stop_as_left_vs_no_signal_slow,2.20745911271799
13,SMA,L,stop_as_left_vs_no_signal_slow,2.96800820695029
14,SMA,L,stop_as_left_vs_no_signal_slow,-0.208091899752617
15,SMA,L,stop_as_left_vs_no_signal_slow,-1.3563706859162
16,SMA,L,stop_as_left_vs_no_signal_slow,2.60518204224737
17,SMA,L,stop_as_left_vs_no_signal_slow,0.555190026015043
18,SMA,L,stop_as_left_vs_no_signal_slow,4.31505776643753
19,SMA,L,stop_as_left_vs_no_signal_slow,1.49456185953958
20,SMA,L,stop_as_left_vs_no_signal_slow,3.02094106782566
21,SMA,L,stop_as_left_vs_no_signal_slow,1.34992382923762
22,SMA,L,stop_as_left_vs_no_signal_slow,2.2896597004599
23,SMA,L,stop_as_left_vs_no_signal_slow,2.0987844027971
24,SMA,L,stop_as_left_vs_no_signal_slow,1.05814838492208
25,SMA,L,stop_as_left_vs_no_signal_slow,-0.42321419309486
26,SMA,L,stop_as_left_vs_no_signal_slow,1.90448836201713
27,SMA,L,stop_as_left_vs_no_signal_slow,1.38324282739473
28,SMA,L,stop_as_left_vs_no_signal_slow,2.27336332986229
29,SMA,L,stop_as_left_vs_no_signal_slow,2.0550241107526
30,SMA,L,stop_as_left_vs_no_signal_slow,1.1728201508522
1,Striatum,L,stop_as_left_vs_no_signal_slow,1.61329886317253
2,Striatum,L,stop_as_left_vs_no_signal_slow,1.87272745702002
3,Striatum,L,stop_as_left_vs_no_signal_slow,3.03462302684784
4,Striatum,L,stop_as_left_vs_no_signal_slow,0.0901388492849138
5,Striatum,L,stop_as_left_vs_no_signal_slow,5.90326227082147
6,Striatum,L,stop_as_left_vs_no_signal_slow,-0.338675253921085
7,Striatum,L,stop_as_left_vs_no_signal_slow,3.50615355703566
8,Striatum,L,stop_as_left_vs_no_signal_slow,-1.12244713471995
9,Striatum,L,stop_as_left_vs_no_signal_slow,0.941657302694188
10,Striatum,L,stop_as_left_vs_no_signal_slow,1.67332751221127
11,Striatum,L,stop_as_left_vs_no_signal_slow,0.602036750978894
12,Striatum,L,stop_as_left_vs_no_signal_slow,2.75453582737181
13,Striatum,L,stop_as_left_vs_no_signal_slow,1.0051938444376
14,Striatum,L,stop_as_left_vs_no_signal_slow,0.883289780053828
15,Striatum,L,stop_as_left_vs_no_signal_slow,0.572048709624343
16,Striatum,L,stop_as_left_vs_no_signal_slow,4.29929646518495
17,Striatum,L,stop_as_left_vs_no_signal_slow,2.35983669095569
18,Striatum,L,stop_as_left_vs_no_signal_slow,5.11635743247138
19,Striatum,L,stop_as_left_vs_no_signal_slow,-0.38095791472329
20,Striatum,L,stop_as_left_vs_no_signal_slow,1.07880202929179
21,Striatum,L,stop_as_left_vs_no_signal_slow,1.35626077362233
22,Striatum,L,stop_as_left_vs_no_signal_slow,0.46954322192404
23,Striatum,L,stop_as_left_vs_no_signal_slow,3.84367403056886
24,Striatum,L,stop_as_left_vs_no_signal_slow,1.40384477045801
25,Striatum,L,stop_as_left_vs_no_signal_slow,1.10841290901105
26,Striatum,L,stop_as_left_vs_no_signal_slow,1.10524330536524
27,Striatum,L,stop_as_left_vs_no_signal_slow,0.567778579062886
28,Striatum,L,stop_as_left_vs_no_signal_slow,0.660118235896031
29,Striatum,L,stop_as_left_vs_no_signal_slow,3.93886816501617
30,Striatum,L,stop_as_left_vs_no_signal_slow,-0.784697378675143
1,preSMA,L,stop_as_left_vs_no_signal_slow,1.51765695691109
2,preSMA,L,stop_as_left_vs_no_signal_slow,2.06696782469749
3,preSMA,L,stop_as_left_vs_no_signal_slow,5.04440438270569
4,preSMA,L,stop_as_left_vs_no_signal_slow,3.20043447971344
5,preSMA,L,stop_as_left_vs_no_signal_slow,2.28882669448853
6,preSMA,L,stop_as_left_vs_no_signal_slow,-0.0880482202768326
7,preSMA,L,stop_as_left_vs_no_signal_slow,2.07687133312225
8,preSMA,L,stop_as_left_vs_no_signal_slow,0.282844808101654
9,preSMA,L,stop_as_left_vs_no_signal_slow,-0.550086591243744
10,preSMA,L,stop_as_left_vs_no_signal_slow,1.94215700507164
11,preSMA,L,stop_as_left_vs_no_signal_slow,0.953965821564198
12,preSMA,L,stop_as_left_vs_no_signal_slow,2.1472253537178
13,preSMA,L,stop_as_left_vs_no_signal_slow,2.35403128147125
14,preSMA,L,stop_as_left_vs_no_signal_slow,0.238912643194199
15,preSMA,L,stop_as_left_vs_no_signal_slow,0.437360623776913
16,preSMA,L,stop_as_left_vs_no_signal_slow,0.558626886382699
17,preSMA,L,stop_as_left_vs_no_signal_slow,0.743125367164612
18,preSMA,L,stop_as_left_vs_no_signal_slow,0.225374844074249
19,preSMA,L,stop_as_left_vs_no_signal_slow,2.85143400192261
20,preSMA,L,stop_as_left_vs_no_signal_slow,0.367471068650484
21,preSMA,L,stop_as_left_vs_no_signal_slow,0.61720452401787
22,preSMA,L,stop_as_left_vs_no_signal_slow,3.08979934930801
23,preSMA,L,stop_as_left_vs_no_signal_slow,-0.737552423477173
24,preSMA,L,stop_as_left_vs_no_signal_slow,0.453888102471828
25,preSMA,L,stop_as_left_vs_no_signal_slow,2.21387568235397
26,preSMA,L,stop_as_left_vs_no_signal_slow,1.4893344783783
27,preSMA,L,stop_as_left_vs_no_signal_slow,0.94753710269928
28,preSMA,L,stop_as_left_vs_no_signal_slow,2.45510656833649
29,preSMA,L,stop_as_left_vs_no_signal_slow,2.19452917575836
30,preSMA,L,stop_as_left_vs_no_signal_slow,2.48645603179932
1,IFG,L,stop_as_right_vs_no_signal_slow,2.18056119405306
2,IFG,L,stop_as_right_vs_no_signal_slow,1.48161916492077
3,IFG,L,stop_as_right_vs_no_signal_slow,2.15390389240705
4,IFG,L,stop_as_right_vs_no_signal_slow,0.815029178531124
5,IFG,L,stop_as_right_vs_no_signal_slow,1.68467921620378
6,IFG,L,stop_as_right_vs_no_signal_slow,-4.59538804567777
7,IFG,L,stop_as_right_vs_no_signal_slow,-0.283536256505893
8,IFG,L,stop_as_right_vs_no_signal_slow,1.23956381357633
9,IFG,L,stop_as_right_vs_no_signal_slow,0.282740495525874
10,IFG,L,stop_as_right_vs_no_signal_slow,0.33828940643714
11,IFG,L,stop_as_right_vs_no_signal_slow,0.869132880981152
12,IFG,L,stop_as_right_vs_no_signal_slow,0.767574327639662
13,IFG,L,stop_as_right_vs_no_signal_slow,1.73078406086335
14,IFG,L,stop_as_right_vs_no_signal_slow,-1.7062498411307
15,IFG,L,stop_as_right_vs_no_signal_slow,0.969495223118709
16,IFG,L,stop_as_right_vs_no_signal_slow,1.19624364146819
17,IFG,L,stop_as_right_vs_no_signal_slow,0.5051260848458
18,IFG,L,stop_as_right_vs_no_signal_slow,3.66294679733423
19,IFG,L,stop_as_right_vs_no_signal_slow,3.42650975630834
20,IFG,L,stop_as_right_vs_no_signal_slow,0.784381930644696
21,IFG,L,stop_as_right_vs_no_signal_slow,1.92058109176847
22,IFG,L,stop_as_right_vs_no_signal_slow,0.985048250510142
23,IFG,L,stop_as_right_vs_no_signal_slow,-1.78182627146061
24,IFG,L,stop_as_right_vs_no_signal_slow,1.35153906047344
25,IFG,L,stop_as_right_vs_no_signal_slow,0.424301494271136
26,IFG,L,stop_as_right_vs_no_signal_slow,0.415556278079748
27,IFG,L,stop_as_right_vs_no_signal_slow,1.91361395670817
28,IFG,L,stop_as_right_vs_no_signal_slow,1.61725968924853
29,IFG,L,stop_as_right_vs_no_signal_slow,2.16855956040896
30,IFG,L,stop_as_right_vs_no_signal_slow,0.464918459980534
1,IFJ,L,stop_as_right_vs_no_signal_slow,3.80932703283098
2,IFJ,L,stop_as_right_vs_no_signal_slow,1.21400802223771
3,IFJ,L,stop_as_right_vs_no_signal_slow,1.67891189621554
4,IFJ,L,stop_as_right_vs_no_signal_slow,1.42272870311583
5,IFJ,L,stop_as_right_vs_no_signal_slow,3.48679509427812
6,IFJ,L,stop_as_right_vs_no_signal_slow,-3.21621459943277
7,IFJ,L,stop_as_right_vs_no_signal_slow,4.67239835085692
8,IFJ,L,stop_as_right_vs_no_signal_slow,3.47202135456933
9,IFJ,L,stop_as_right_vs_no_signal_slow,1.46392071219506
10,IFJ,L,stop_as_right_vs_no_signal_slow,1.529627069279
11,IFJ,L,stop_as_right_vs_no_signal_slow,1.89543167970799
12,IFJ,L,stop_as_right_vs_no_signal_slow,1.69609172449068
13,IFJ,L,stop_as_right_vs_no_signal_slow,2.4660933304716
14,IFJ,L,stop_as_right_vs_no_signal_slow,2.50943450353764
15,IFJ,L,stop_as_right_vs_no_signal_slow,2.04310878117879
16,IFJ,L,stop_as_right_vs_no_signal_slow,3.45182181729211
17,IFJ,L,stop_as_right_vs_no_signal_slow,1.63188560362215
18,IFJ,L,stop_as_right_vs_no_signal_slow,2.5162240156421
19,IFJ,L,stop_as_right_vs_no_signal_slow,3.26154961243824
20,IFJ,L,stop_as_right_vs_no_signal_slow,0.694657414047806
21,IFJ,L,stop_as_right_vs_no_signal_slow,0.852326811463745
22,IFJ,L,stop_as_right_vs_no_signal_slow,4.58719949369077
23,IFJ,L,stop_as_right_vs_no_signal_slow,1.50054785278108
24,IFJ,L,stop_as_right_vs_no_signal_slow,2.57615980064427
25,IFJ,L,stop_as_right_vs_no_signal_slow,1.83461258808772
26,IFJ,L,stop_as_right_vs_no_signal_slow,1.4570226404402
27,IFJ,L,stop_as_right_vs_no_signal_slow,2.11733526212198
28,IFJ,L,stop_as_right_vs_no_signal_slow,3.28557065681175
29,IFJ,L,stop_as_right_vs_no_signal_slow,4.16725840391936
30,IFJ,L,stop_as_right_vs_no_signal_slow,0.16871158964932
1,M1,L,stop_as_right_vs_no_signal_slow,-1.28631779882643
2,M1,L,stop_as_right_vs_no_signal_slow,-1.43898843063249
3,M1,L,stop_as_right_vs_no_signal_slow,-1.03573399947749
4,M1,L,stop_as_right_vs_no_signal_slow,-0.611157341135873
5,M1,L,stop_as_right_vs_no_signal_slow,-2.19304522706403
6,M1,L,stop_as_right_vs_no_signal_slow,-5.71182290712992
7,M1,L,stop_as_right_vs_no_signal_slow,-1.76949197716183
8,M1,L,stop_as_right_vs_no_signal_slow,-1.93823884261979
9,M1,L,stop_as_right_vs_no_signal_slow,-1.98213212357627
10,M1,L,stop_as_right_vs_no_signal_slow,-0.0671523296170765
11,M1,L,stop_as_right_vs_no_signal_slow,-0.446884310907788
12,M1,L,stop_as_right_vs_no_signal_slow,-4.88369101285934
13,M1,L,stop_as_right_vs_no_signal_slow,-1.10624086856842
14,M1,L,stop_as_right_vs_no_signal_slow,-0.884811552241445
15,M1,L,stop_as_right_vs_no_signal_slow,-1.27886706756221
16,M1,L,stop_as_right_vs_no_signal_slow,-1.3587710791164
17,M1,L,stop_as_right_vs_no_signal_slow,-1.05648062460952
18,M1,L,stop_as_right_vs_no_signal_slow,-0.578800208038754
19,M1,L,stop_as_right_vs_no_signal_slow,-2.40329818261994
20,M1,L,stop_as_right_vs_no_signal_slow,-0.671829125533501
21,M1,L,stop_as_right_vs_no_signal_slow,-0.0487906630668375
22,M1,L,stop_as_right_vs_no_signal_slow,-4.52024083667331
23,M1,L,stop_as_right_vs_no_signal_slow,0.0188226863327954
24,M1,L,stop_as_right_vs_no_signal_slow,-1.26967099308968
25,M1,L,stop_as_right_vs_no_signal_slow,-2.72446630398432
26,M1,L,stop_as_right_vs_no_signal_slow,-1.87036562297079
27,M1,L,stop_as_right_vs_no_signal_slow,-1.74940414892303
28,M1,L,stop_as_right_vs_no_signal_slow,-3.32893409993913
29,M1,L,stop_as_right_vs_no_signal_slow,-0.870458102060689
30,M1,L,stop_as_right_vs_no_signal_slow,-1.16638025310304
1,PMd,L,stop_as_right_vs_no_signal_slow,2.70215414579098
2,PMd,L,stop_as_right_vs_no_signal_slow,2.2236348092556
3,PMd,L,stop_as_right_vs_no_signal_slow,4.69723536570867
4,PMd,L,stop_as_right_vs_no_signal_slow,8.49828680356344
5,PMd,L,stop_as_right_vs_no_signal_slow,1.97198670387268
6,PMd,L,stop_as_right_vs_no_signal_slow,-3.53323816299438
7,PMd,L,stop_as_right_vs_no_signal_slow,3.25202966653384
8,PMd,L,stop_as_right_vs_no_signal_slow,3.25746887425582
9,PMd,L,stop_as_right_vs_no_signal_slow,3.15194917321205
10,PMd,L,stop_as_right_vs_no_signal_slow,3.18933542416646
11,PMd,L,stop_as_right_vs_no_signal_slow,3.66707013662045
12,PMd,L,stop_as_right_vs_no_signal_slow,1.55066092255024
13,PMd,L,stop_as_right_vs_no_signal_slow,4.40531401530556
14,PMd,L,stop_as_right_vs_no_signal_slow,0.891346389427781
15,PMd,L,stop_as_right_vs_no_signal_slow,0.774428225755691
16,PMd,L,stop_as_right_vs_no_signal_slow,4.06677391218103
17,PMd,L,stop_as_right_vs_no_signal_slow,2.69944560986299
18,PMd,L,stop_as_right_vs_no_signal_slow,6.87456130064451
19,PMd,L,stop_as_right_vs_no_signal_slow,2.09076279459091
20,PMd,L,stop_as_right_vs_no_signal_slow,2.53002338913771
21,PMd,L,stop_as_right_vs_no_signal_slow,3.32810923457146
22,PMd,L,stop_as_right_vs_no_signal_slow,4.49659476280212
23,PMd,L,stop_as_right_vs_no_signal_slow,3.03234643737475
24,PMd,L,stop_as_right_vs_no_signal_slow,4.50016746520996
25,PMd,L,stop_as_right_vs_no_signal_slow,0.325117172673345
26,PMd,L,stop_as_right_vs_no_signal_slow,1.57557082405457
27,PMd,L,stop_as_right_vs_no_signal_slow,3.69288798020436
28,PMd,L,stop_as_right_vs_no_signal_slow,4.03333849631823
29,PMd,L,stop_as_right_vs_no_signal_slow,6.09914720058441
30,PMd,L,stop_as_right_vs_no_signal_slow,3.26488364659823
1,SMA,L,stop_as_right_vs_no_signal_slow,1.67631446991278
2,SMA,L,stop_as_right_vs_no_signal_slow,4.03446819782257
3,SMA,L,stop_as_right_vs_no_signal_slow,2.16671027007856
4,SMA,L,stop_as_right_vs_no_signal_slow,4.57524054050446
5,SMA,L,stop_as_right_vs_no_signal_slow,2.01958016554515
6,SMA,L,stop_as_right_vs_no_signal_slow,-3.96301431655884
7,SMA,L,stop_as_right_vs_no_signal_slow,2.69739393765728
8,SMA,L,stop_as_right_vs_no_signal_slow,2.2991551254925
9,SMA,L,stop_as_right_vs_no_signal_slow,-1.32756730727851
10,SMA,L,stop_as_right_vs_no_signal_slow,2.21473441720009
11,SMA,L,stop_as_right_vs_no_signal_slow,1.62394767593254
12,SMA,L,stop_as_right_vs_no_signal_slow,2.51257397802103
13,SMA,L,stop_as_right_vs_no_signal_slow,-0.993194811873966
14,SMA,L,stop_as_right_vs_no_signal_slow,0.0565846551209688
15,SMA,L,stop_as_right_vs_no_signal_slow,-0.741670163054215
16,SMA,L,stop_as_right_vs_no_signal_slow,1.35088947023216
17,SMA,L,stop_as_right_vs_no_signal_slow,2.33887137770653
18,SMA,L,stop_as_right_vs_no_signal_slow,5.95700224041939
19,SMA,L,stop_as_right_vs_no_signal_slow,0.613185694529897
20,SMA,L,stop_as_right_vs_no_signal_slow,2.60275057770989
21,SMA,L,stop_as_right_vs_no_signal_slow,-0.347786162580763
22,SMA,L,stop_as_right_vs_no_signal_slow,3.1936558286349
