comparison,B10,log.scale
BF_m_td_vs_m_0,3457.582931506661,TRUE
BF_m_stoptype_vs_m_0,-0.5090657371620182,TRUE
BF_m_td_stoptype_vs_m_0,3460.1101530522055,TRUE
BF_m_full_vs_m_0,3458.529832407372,TRUE
