set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.001,2,0.000,0.000,7287,0.000,0.000,0.000, 15.03,  Inf,0.000, 36, -88, -4,
,,,,,,0.000,0.000, 14.90, 7.84,0.000, 29, -60, 38,
,,,,,,0.000,0.000, 14.03, 7.66,0.000,-34, -52,-18,
,,0.000,0.000,467,0.000,0.000,0.000,  8.81, 6.10,0.000,  8, -14, 10,
,,,,,,0.000,0.000,  8.49, 5.97,0.000,-10, -18, 10,
,,,,,,0.001,0.000,  7.38, 5.49,0.000,-16, -28,  7,
