set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,4,0.001,0.000,67,0.000,0.000,0.001,  7.82, 5.69,0.000,-13,38, 52,
,,,,,,0.353,0.064,  5.01, 4.22,0.000,-13,38, 42,
,,,,,,0.436,0.078,  4.88, 4.14,0.000,-20,28, 46,
,,0.006,0.001,48,0.001,0.001,0.001,  7.36, 5.48,0.000,-48,28, -4,
,,0.040,0.017,31,0.004,0.006,0.006,  6.52, 5.07,0.000, 50,35, -7,
,,0.083,0.017,25,0.007,0.306,0.056,  5.09, 4.27,0.000, 15,38, 46,
,,,,,,0.960,0.405,  4.07, 3.59,0.000, 22,32, 52,
,,,,,,0.998,0.594,  3.75, 3.36,0.000, 18,28, 46,
