set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,3,0.000,0.000,5651,0.000,0.000,0.000, 12.74, 7.34,0.000, 40,-18, 18,
,,,,,,0.000,0.000,  9.77, 6.45,0.000, 36,-18, 46,
,,,,,,0.000,0.000,  9.55, 6.37,0.000, 54, -4, 10,
,,0.000,0.000,284,0.000,0.000,0.000,  8.66, 6.04,0.000,-34,-24, 56,
,,,,,,0.000,0.001,  7.70, 5.64,0.000,-52,-18, 49,
,,,,,,0.000,0.001,  7.65, 5.61,0.000,-44,-18, 56,
,,0.000,0.000,77,0.000,0.086,0.020,  5.57, 4.56,0.000, 12,-91, 21,
,,,,,,0.089,0.020,  5.56, 4.55,0.000, -6,-94, 14,
,,,,,,0.391,0.063,  4.94, 4.17,0.000,  1,-91, 21,
