set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.000,166,0.000,0.000,0.000, 10.40, 6.66,0.000, 32, 24,  0,
,,,,,,0.005,0.002,  6.58, 5.10,0.000, 43, 10, 21,
,,,,,,0.110,0.023,  5.48, 4.50,0.000, 43, 18,  4,
,,0.001,0.000,68,0.000,0.000,0.000,  8.80, 6.09,0.000,-30, 24,  7,
,,,,,,0.988,0.481,  3.89, 3.46,0.000,-44, 10,  4,
,,0.000,0.000,313,0.000,0.000,0.000,  8.79, 6.09,0.000,  8, 10, 49,
,,,,,,0.000,0.000,  7.52, 5.56,0.000, 18,  7, 60,
,,,,,,0.001,0.001,  7.30, 5.46,0.000, 46,  4, 42,
,,0.000,0.000,180,0.000,0.000,0.000,  7.89, 5.72,0.000,-44,  0, 38,
,,,,,,0.000,0.000,  7.59, 5.59,0.000,-24, -7, 49,
,,,,,,0.004,0.002,  6.72, 5.18,0.000,-41, -4, 46,
,,0.001,0.000,70,0.000,0.001,0.001,  7.30, 5.46,0.000,-41, 24, 24,
,,,,,,0.285,0.040,  5.12, 4.28,0.000,-38, 42, 10,
,,,,,,0.967,0.363,  4.03, 3.56,0.000,-38, 35, 21,
