set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,4,0.000,0.000,85,0.000,0.004,0.012,  6.68, 5.16,0.000, 29, 21,-10,
,,0.000,0.000,76,0.000,0.043,0.043,  5.82, 4.70,0.000, 57,-42, 28,
,,0.024,0.006,35,0.002,0.223,0.109,  5.23, 4.35,0.000,-30, 21, -7,
,,0.008,0.003,45,0.001,0.530,0.165,  4.76, 4.06,0.000,-58,-49, 28,
,,,,,,0.560,0.165,  4.72, 4.03,0.000,-52,-49, 35,
,,,,,,1.000,0.982,  3.41, 3.10,0.001,-48,-42, 32,
