set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.000,0.002,84,0.000,0.000,0.000,  7.89, 5.72,0.000,-55, 28,  4,
,,,,,,0.002,0.001,  6.97, 5.30,0.000,-44, 35, -7,
,,,,,,0.931,0.277,  4.17, 3.66,0.000,-44, 46,-10,
,,0.101,0.329,23,0.009,0.000,0.000,  7.81, 5.69,0.000, 36,-21, 49,
,,,,,,0.528,0.091,  4.77, 4.07,0.000, 40,-28, 63,
,,0.000,0.002,111,0.000,0.001,0.001,  7.22, 5.42,0.000, -6, 38, 52,
,,,,,,0.001,0.001,  7.09, 5.36,0.000,-10, 42, 46,
,,,,,,0.089,0.020,  5.56, 4.55,0.000,-20, 24, 46,
,,0.115,0.329,22,0.010,0.003,0.002,  6.81, 5.22,0.000, 40, -7, 18,
,,,,,,0.019,0.007,  6.12, 4.86,0.000, 50, -7, 10,
,,0.001,0.002,71,0.000,0.003,0.002,  6.76, 5.19,0.000, 50, 38, -7,
,,,,,,0.098,0.021,  5.52, 4.53,0.000, 54, 32,  4,
,,,,,,0.169,0.032,  5.33, 4.41,0.000, 43, 46,-10,
,,0.000,0.002,79,0.000,0.004,0.002,  6.66, 5.14,0.000, 15, 35, 52,
,,0.069,0.329,26,0.006,0.008,0.004,  6.43, 5.03,0.000, 29, -7, -4,
,,0.000,0.000,127,0.000,0.025,0.009,  6.02, 4.81,0.000,  8,-28, 63,
,,,,,,0.040,0.012,  5.85, 4.71,0.000, -2,-28, 66,
,,,,,,0.078,0.019,  5.60, 4.58,0.000, 26,-32, 70,
