iData,ROI,Hemisphere,contrast,mean_activation,z_score,is_outlier,count,BF10,BF01
1,IFG,L,"S[""AS, left""]",0.503695711780053,0.36749239632330366,FALSE,29,0.2666291544554858,3.75052758968619
2,IFG,L,"S[""AS, left""]",1.38697591309364,0.8395009102552832,FALSE,29,0.2666291544554858,3.75052758968619
3,IFG,L,"S[""AS, left""]",-0.607870730069967,-0.22650803929612331,FALSE,29,0.2666291544554858,3.75052758968619
4,IFG,L,"S[""AS, left""]",-3.13533069537236,-1.5771356436178186,FALSE,29,0.2666291544554858,3.75052758968619
5,IFG,L,"S[""AS, left""]",2.9564344218144,1.6781903513607157,FALSE,29,0.2666291544554858,3.75052758968619
6,IFG,L,"S[""AS, left""]",-2.79299376561092,-1.3941971545172727,FALSE,29,0.2666291544554858,3.75052758968619
7,IFG,L,"S[""AS, left""]",0.357256449615726,0.2892379778356194,FALSE,29,0.2666291544554858,3.75052758968619
9,IFG,L,"S[""AS, left""]",0.4706999127968,0.34986005494293315,FALSE,29,0.2666291544554858,3.75052758968619
10,IFG,L,"S[""AS, left""]",-0.675387303416546,-0.2625876405412373,FALSE,29,0.2666291544554858,3.75052758968619
11,IFG,L,"S[""AS, left""]",-0.188758236284439,-0.002542116514389649,FALSE,29,0.2666291544554858,3.75052758968619
12,IFG,L,"S[""AS, left""]",1.2516405728574,0.7671802211552818,FALSE,29,0.2666291544554858,3.75052758968619
13,IFG,L,"S[""AS, left""]",-1.26476097909304,-0.57753797271553,FALSE,29,0.2666291544554858,3.75052758968619
14,IFG,L,"S[""AS, left""]",-1.74796670961839,-0.8357541293207584,FALSE,29,0.2666291544554858,3.75052758968619
15,IFG,L,"S[""AS, left""]",-0.286498585286049,-0.05477274142235598,FALSE,29,0.2666291544554858,3.75052758968619
16,IFG,L,"S[""AS, left""]",1.01204435240764,0.6391444565247331,FALSE,29,0.2666291544554858,3.75052758968619
17,IFG,L,"S[""AS, left""]",-0.705709570875535,-0.27879129639255207,FALSE,29,0.2666291544554858,3.75052758968619
18,IFG,L,"S[""AS, left""]",1.15084822275318,0.7133186636136853,FALSE,29,0.2666291544554858,3.75052758968619
19,IFG,L,"S[""AS, left""]",-2.46418236998411,-1.218486459334816,FALSE,29,0.2666291544554858,3.75052758968619
20,IFG,L,"S[""AS, left""]",1.64381864666939,0.9767528907808566,FALSE,29,0.2666291544554858,3.75052758968619
21,IFG,L,"S[""AS, left""]",2.43055347066659,1.3971693504515272,FALSE,29,0.2666291544554858,3.75052758968619
22,IFG,L,"S[""AS, left""]",-0.31049552703133,-0.06759626083924947,FALSE,29,0.2666291544554858,3.75052758968619
23,IFG,L,"S[""AS, left""]",2.26477623673586,1.3085810794645523,FALSE,29,0.2666291544554858,3.75052758968619
24,IFG,L,"S[""AS, left""]",-1.1406944007971,-0.5112391004403416,FALSE,29,0.2666291544554858,3.75052758968619
25,IFG,L,"S[""AS, left""]",-0.320608197783048,-0.07300028403178016,FALSE,29,0.2666291544554858,3.75052758968619
26,IFG,L,"S[""AS, left""]",0.089572659192177,0.14619273813297867,FALSE,29,0.2666291544554858,3.75052758968619
27,IFG,L,"S[""AS, left""]",0.701499395359021,0.4731950064322256,FALSE,29,0.2666291544554858,3.75052758968619
28,IFG,L,"S[""AS, left""]",0.247517011200006,0.23059526268214747,FALSE,29,0.2666291544554858,3.75052758968619
29,IFG,L,"S[""AS, left""]",-1.61910544221218,-0.7668930643480107,FALSE,29,0.2666291544554858,3.75052758968619
30,IFG,L,"S[""AS, left""]",1.3776670980912,0.8345264526265092,FALSE,29,0.2666291544554858,3.75052758968619
1,IFJ,L,"S[""AS, left""]",-0.228760880038694,-0.12909775269912985,FALSE,30,0.2656196451559653,3.764781778143046
2,IFJ,L,"S[""AS, left""]",1.4668854618514,1.0578495490994246,FALSE,30,0.2656196451559653,3.764781778143046
3,IFJ,L,"S[""AS, left""]",-2.08813450513063,-1.4306536566727186,FALSE,30,0.2656196451559653,3.764781778143046
4,IFJ,L,"S[""AS, left""]",-1.89845048056708,-1.2978754141890692,FALSE,30,0.2656196451559653,3.764781778143046
5,IFJ,L,"S[""AS, left""]",2.52754757139418,1.800309812150767,FALSE,30,0.2656196451559653,3.764781778143046
6,IFJ,L,"S[""AS, left""]",-1.23844869655591,-0.8358761650761505,FALSE,30,0.2656196451559653,3.764781778143046
7,IFJ,L,"S[""AS, left""]",2.08248121208615,1.4887647091116964,FALSE,30,0.2656196451559653,3.764781778143046
8,IFJ,L,"S[""AS, left""]",-3.27503300596167,-2.2614790111507133,FALSE,30,0.2656196451559653,3.764781778143046
9,IFJ,L,"S[""AS, left""]",-0.978948153003498,-0.6542265708326606,FALSE,30,0.2656196451559653,3.764781778143046
10,IFJ,L,"S[""AS, left""]",-1.97312605049875,-1.3501480868867641,FALSE,30,0.2656196451559653,3.764781778143046
11,IFJ,L,"S[""AS, left""]",-0.107230029793249,-0.04402652574544651,FALSE,30,0.2656196451559653,3.764781778143046
12,IFJ,L,"S[""AS, left""]",-0.121601244779649,-0.054086332693551294,FALSE,30,0.2656196451559653,3.764781778143046
13,IFJ,L,"S[""AS, left""]",0.598841799630059,0.4502216155714446,FALSE,30,0.2656196451559653,3.764781778143046
14,IFJ,L,"S[""AS, left""]",-1.52302642414967,-1.0350797121689153,FALSE,30,0.2656196451559653,3.764781778143046
15,IFJ,L,"S[""AS, left""]",-1.50137602289518,-1.019924496887863,FALSE,30,0.2656196451559653,3.764781778143046
16,IFJ,L,"S[""AS, left""]",0.764818341091827,0.5664046917135512,FALSE,30,0.2656196451559653,3.764781778143046
17,IFJ,L,"S[""AS, left""]",1.81362610324113,1.3005669475061477,FALSE,30,0.2656196451559653,3.764781778143046
18,IFJ,L,"S[""AS, left""]",1.4362631910653,1.036414052329508,FALSE,30,0.2656196451559653,3.764781778143046
19,IFJ,L,"S[""AS, left""]",-1.04278960686039,-0.6989153951035688,FALSE,30,0.2656196451559653,3.764781778143046
20,IFJ,L,"S[""AS, left""]",-0.0906455340208831,-0.03241742895303581,FALSE,30,0.2656196451559653,3.764781778143046
21,IFJ,L,"S[""AS, left""]",1.37631909052531,0.9944533635721031,FALSE,30,0.2656196451559653,3.764781778143046
22,IFJ,L,"S[""AS, left""]",-0.683850625046977,-0.44765919535919696,FALSE,30,0.2656196451559653,3.764781778143046
23,IFJ,L,"S[""AS, left""]",2.17860918133347,1.5560539963331685,FALSE,30,0.2656196451559653,3.764781778143046
24,IFJ,L,"S[""AS, left""]",0.151668527680967,0.13720168006722333,FALSE,30,0.2656196451559653,3.764781778143046
25,IFJ,L,"S[""AS, left""]",0.0528848425105766,0.0680533997459766,FALSE,30,0.2656196451559653,3.764781778143046
26,IFJ,L,"S[""AS, left""]",-0.72980216090326,-0.47982513123313514,FALSE,30,0.2656196451559653,3.764781778143046
27,IFJ,L,"S[""AS, left""]",0.873694488330296,0.6426176649039826,FALSE,30,0.2656196451559653,3.764781778143046
28,IFJ,L,"S[""AS, left""]",0.573958793724025,0.43280358682856246,FALSE,30,0.2656196451559653,3.764781778143046
29,IFJ,L,"S[""AS, left""]",-0.350378000073963,-0.214229368244307,FALSE,30,0.2656196451559653,3.764781778143046
