iData,ROI,Hemisphere,contrast,mean_activation,z_score,is_outlier,count,BF10,BF01
1,IFG,L,"S[""AS, left""] - NS[""slow""]",1.32500915630506,0.548733898706584,FALSE,30,5.504955768801758,0.18165450223366028
2,IFG,L,"S[""AS, left""] - NS[""slow""]",2.31644313323956,1.3429597924332948,FALSE,30,5.504955768801758,0.18165450223366028
3,IFG,L,"S[""AS, left""] - NS[""slow""]",1.56376782288918,0.7400006091123525,FALSE,30,5.504955768801758,0.18165450223366028
4,IFG,L,"S[""AS, left""] - NS[""slow""]",-1.0206516453853,-1.3303468973364987,FALSE,30,5.504955768801758,0.18165450223366028
5,IFG,L,"S[""AS, left""] - NS[""slow""]",1.98930712961234,1.0808950549967458,FALSE,30,5.504955768801758,0.18165450223366028
6,IFG,L,"S[""AS, left""] - NS[""slow""]",-2.42370471129051,-2.4543159170992612,FALSE,30,5.504955768801758,0.18165450223366028
7,IFG,L,"S[""AS, left""] - NS[""slow""]",-1.04327525900534,-1.3484704034546384,FALSE,30,5.504955768801758,0.18165450223366028
8,IFG,L,"S[""AS, left""] - NS[""slow""]",1.15897228282232,0.41572374644091237,FALSE,30,5.504955768801758,0.18165450223366028
9,IFG,L,"S[""AS, left""] - NS[""slow""]",-0.183727715450984,-0.659897153130014,FALSE,30,5.504955768801758,0.18165450223366028
10,IFG,L,"S[""AS, left""] - NS[""slow""]",0.101518130073181,-0.43139012002050775,FALSE,30,5.504955768801758,0.18165450223366028
11,IFG,L,"S[""AS, left""] - NS[""slow""]",0.65967370225833,0.015741629012318476,FALSE,30,5.504955768801758,0.18165450223366028
12,IFG,L,"S[""AS, left""] - NS[""slow""]",1.35919863193368,0.5761226784629007,FALSE,30,5.504955768801758,0.18165450223366028
13,IFG,L,"S[""AS, left""] - NS[""slow""]",1.00269837562854,0.2905345896289658,FALSE,30,5.504955768801758,0.18165450223366028
14,IFG,L,"S[""AS, left""] - NS[""slow""]",-1.3146691436951,-1.5658807965159698,FALSE,30,5.504955768801758,0.18165450223366028
15,IFG,L,"S[""AS, left""] - NS[""slow""]",0.628899752520598,-0.008911013828835425,FALSE,30,5.504955768801758,0.18165450223366028
16,IFG,L,"S[""AS, left""] - NS[""slow""]",0.78088669364269,0.11284390576825384,FALSE,30,5.504955768801758,0.18165450223366028
17,IFG,L,"S[""AS, left""] - NS[""slow""]",-0.142711725085974,-0.627039734116132,FALSE,30,5.504955768801758,0.18165450223366028
18,IFG,L,"S[""AS, left""] - NS[""slow""]",3.31360084391557,2.1417709007603367,FALSE,30,5.504955768801758,0.18165450223366028
19,IFG,L,"S[""AS, left""] - NS[""slow""]",0.142935892137197,-0.39821084650683974,FALSE,30,5.504955768801758,0.18165450223366028
20,IFG,L,"S[""AS, left""] - NS[""slow""]",0.226975003114113,-0.33088812045904265,FALSE,30,5.504955768801758,0.18165450223366028
21,IFG,L,"S[""AS, left""] - NS[""slow""]",2.04393198398443,1.1246543720997453,FALSE,30,5.504955768801758,0.18165450223366028
22,IFG,L,"S[""AS, left""] - NS[""slow""]",-0.942072381766943,-1.2673979896657668,FALSE,30,5.504955768801758,0.18165450223366028
23,IFG,L,"S[""AS, left""] - NS[""slow""]",0.52386108900492,-0.09305623009885454,FALSE,30,5.504955768801758,0.18165450223366028
24,IFG,L,"S[""AS, left""] - NS[""slow""]",-0.281819447588462,-0.7384772658118256,FALSE,30,5.504955768801758,0.18165450223366028
