set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.015,2,0.000,0.000,72,0.000,0.000,0.000,  9.53, 6.37,0.000,-38,-21,56,
,,,,,,0.000,0.001,  8.36, 5.92,0.000,-41,-21,46,
,,,,,,0.000,0.001,  8.35, 5.92,0.000,-34,-24,49,
,,0.001,0.001,57,0.000,0.138,0.109,  5.40, 4.46,0.000, -6,-28,60,
,,,,,,0.285,0.141,  5.14, 4.30,0.000, -6,-35,52,
,,,,,,0.626,0.212,  4.68, 4.01,0.000,  1,-24,63,
