set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,13,0.000,0.000,415,0.000,0.000,0.000,  9.53, 6.37,0.000,-38,-21, 56,
,,,,,,0.000,0.001,  8.75, 6.07,0.000,-30,-24, 49,
,,,,,,0.000,0.001,  8.36, 5.92,0.000,-41,-21, 46,
,,0.000,0.000,381,0.000,0.000,0.003,  7.62, 5.60,0.000,-41,-18, 21,
,,,,,,0.020,0.042,  6.10, 4.85,0.000,-48,-63, 28,
,,,,,,0.041,0.058,  5.83, 4.71,0.000,-34,-24, 24,
,,0.002,0.001,54,0.000,0.005,0.022,  6.62, 5.13,0.000,-41, 32,-10,
,,0.000,0.000,106,0.000,0.006,0.022,  6.54, 5.08,0.000, 22,-46,-24,
,,,,,,0.016,0.038,  6.19, 4.90,0.000, 15,-52,-18,
,,,,,,0.759,0.262,  4.51, 3.89,0.000,  4,-63,-10,
,,0.020,0.008,34,0.002,0.014,0.038,  6.24, 4.93,0.000, 12,-49, 32,
,,,,,,0.999,0.670,  3.70, 3.32,0.000,  8,-52, 18,
,,0.000,0.000,89,0.000,0.053,0.066,  5.74, 4.66,0.000, 64,-28,  0,
,,,,,,0.285,0.141,  5.14, 4.30,0.000, 60,-14, -7,
,,,,,,0.675,0.223,  4.62, 3.97,0.000, 64, -7,-14,
,,0.000,0.000,88,0.000,0.063,0.071,  5.68, 4.62,0.000,-13, 49, 42,
,,,,,,0.606,0.206,  4.71, 4.02,0.000, -6, 52, 28,
,,,,,,0.810,0.280,  4.44, 3.84,0.000,-10, 38, 52,
,,0.000,0.000,68,0.000,0.093,0.091,  5.54, 4.54,0.000, 40,-10, 21,
,,,,,,0.306,0.142,  5.11, 4.28,0.000, 26,-28, 18,
,,,,,,0.500,0.201,  4.85, 4.11,0.000, 18,-21, 28,
,,0.029,0.010,31,0.002,0.142,0.109,  5.39, 4.45,0.000,-58,-46,  0,
,,,,,,0.983,0.501,  4.00, 3.54,0.000,-55,-38, -7,
,,0.000,0.000,105,0.000,0.156,0.112,  5.35, 4.43,0.000,-13,-49, 28,
,,,,,,0.289,0.141,  5.13, 4.29,0.000, -6,-52, 18,
,,,,,,0.999,0.670,  3.71, 3.33,0.000,-24,-52, 28,
,,0.033,0.011,30,0.003,0.399,0.168,  4.99, 4.20,0.000, 32,-80,-35,
,,,,,,0.709,0.240,  4.58, 3.94,0.000, 18,-84,-35,
,,0.029,0.010,31,0.002,0.514,0.201,  4.83, 4.10,0.000,-10,-88, 24,
,,,,,,0.965,0.444,  4.10, 3.61,0.000,-16,-84, 21,
,,0.011,0.005,39,0.001,0.806,0.280,  4.44, 3.85,0.000, 15,-88, 32,
,,,,,,0.893,0.342,  4.30, 3.75,0.000, 18,-80, 18,
,,,,,,0.995,0.533,  3.87, 3.44,0.000, 18,-91, 18,
