set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,4,0.000,0.000,297,0.000,0.002,0.007,  6.88, 5.25,0.000,-13,-63,56,
,,,,,,0.004,0.007,  6.74, 5.18,0.000,-34,-42,42,
,,,,,,0.015,0.010,  6.21, 4.92,0.000,-38,-35,49,
,,0.001,0.000,85,0.000,0.006,0.008,  6.54, 5.08,0.000,-24,-10,56,
,,0.041,0.008,36,0.004,0.113,0.043,  5.47, 4.50,0.000, 26, -7,56,
,,0.016,0.004,46,0.002,0.170,0.048,  5.30, 4.40,0.000, 12,-60,52,
