Column name,Description,Type,Values or characteristics
subjectIx,"Subject index, specified by experimenter at beginning of the task",integer,Zero-based numbering
t_d_alt,Alternative stop-signal delay category,character,"Possible values: short (0.066, 0.166, 0.266), intermediate (0.366), long (0.466)"
mean_RT,Mean stop-respond response time across trials (in seconds),double,Possible values: > 0
