set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.000,162,0.000,0.014,0.074,  6.23, 4.92,0.000,-16, 52, 35,
,,,,,,0.047,0.074,  5.79, 4.68,0.000,-10, 38, 52,
,,,,,,0.398,0.230,  4.89, 4.14,0.000,-10, 56, 32,
,,0.001,0.001,71,0.000,0.068,0.074,  5.65, 4.60,0.000, 60,-49, 28,
,,,,,,0.770,0.441,  4.39, 3.82,0.000, 46,-46, 28,
,,0.035,0.020,35,0.003,0.073,0.074,  5.63, 4.59,0.000,-44, 32,-10,
,,0.000,0.000,157,0.000,0.089,0.075,  5.56, 4.55,0.000,-58,-56, 35,
,,,,,,0.163,0.106,  5.34, 4.42,0.000,-52,-60, 28,
,,,,,,0.814,0.441,  4.33, 3.77,0.000,-44,-70, 42,
,,0.006,0.005,52,0.001,0.203,0.114,  5.25, 4.37,0.000, 60,-38,  0,
,,,,,,0.771,0.441,  4.39, 3.81,0.000, 54,-38,  7,
